suburb,postcode,state,state_code
Watsons Creek (NSW),2355,New South Wales,NSW
Gwabegar,2356,New South Wales,NSW
Coonabarabran,2357,New South Wales,NSW
Arding,2358,New South Wales,NSW
Bundarra,2359,New South Wales,NSW
Copeton,2360,New South Wales,NSW
Ashford (NSW),2361,New South Wales,NSW
Guyra,2365,New South Wales,NSW
Tingha,2369,New South Wales,NSW
Glen Innes,2370,New South Wales,NSW
Deepwater (NSW),2371,New South Wales,NSW
Timbarra (NSW),2372,New South Wales,NSW
Mullaley,2379,New South Wales,NSW
Gunnedah,2380,New South Wales,NSW
Curlewis (NSW),2381,New South Wales,NSW
Boggabri,2382,New South Wales,NSW
Burren Junction,2386,New South Wales,NSW
Rowena,2387,New South Wales,NSW
Wee Waa,2388,New South Wales,NSW
Back Creek (Gwydir - NSW),2390,New South Wales,NSW
Binnaway,2395,New South Wales,NSW
Baradine,2396,New South Wales,NSW
Bellata,2397,New South Wales,NSW
Gurley,2398,New South Wales,NSW
Pallamallawa,2399,New South Wales,NSW
Moree,2400,New South Wales,NSW
Gravesend,2401,New South Wales,NSW
Warialda Rail,2402,New South Wales,NSW
Myall Creek,2403,New South Wales,NSW
Bingara,2404,New South Wales,NSW
Garah,2405,New South Wales,NSW
Mungindi (Qld),2406,Queensland,QLD
North Star,2408,New South Wales,NSW
Boggabilla,2409,New South Wales,NSW
Yetman,2410,New South Wales,NSW
Croppa Creek,2411,New South Wales,NSW
Stroud Road,2415,New South Wales,NSW
Hilldale,2420,New South Wales,NSW
Vacy,2421,New South Wales,NSW
Gloucester,2422,New South Wales,NSW
Markwell,2423,New South Wales,NSW
Cells River,2424,New South Wales,NSW
Stroud,2425,New South Wales,NSW
Coopernook,2426,New South Wales,NSW
Harrington,2427,New South Wales,NSW
Wallis Lake,2428,New South Wales,NSW
Marlee,2429,New South Wales,NSW
Taree,2430,New South Wales,NSW
South West Rocks,2431,New South Wales,NSW
Kendall,2439,New South Wales,NSW
South Kempsey,2440,New South Wales,NSW
Stuarts Point,2441,New South Wales,NSW
West Haven,2443,New South Wales,NSW
Port Macquarie,2444,New South Wales,NSW
Bonny Hills,2445,New South Wales,NSW
Beechwood,2446,New South Wales,NSW
Gumma,2447,New South Wales,NSW
Valla,2448,New South Wales,NSW
Bowraville,2449,New South Wales,NSW
Coffs Harbour,2450,New South Wales,NSW
Boambee East,2452,New South Wales,NSW
Megan,2453,New South Wales,NSW
Mylestom,2454,New South Wales,NSW
Urunga,2455,New South Wales,NSW
Woolgoolga,2456,New South Wales,NSW
Grafton,2460,New South Wales,NSW
Pillar Valley,2462,New South Wales,NSW
Gulmarrad,2463,New South Wales,NSW
Yamba (NSW),2464,New South Wales,NSW
Harwood,2465,New South Wales,NSW
Iluka (NSW),2466,New South Wales,NSW
Chatsworth (NSW),2469,New South Wales,NSW
Casino,2470,New South Wales,NSW
Greenridge,2471,New South Wales,NSW
Woodburn (Richmond Valley - NSW),2472,New South Wales,NSW
Evans Head,2473,New South Wales,NSW
Kyogle,2474,New South Wales,NSW
Urbenville,2475,New South Wales,NSW
Brumby Plains,2476,New South Wales,NSW
Wollongbar,2477,New South Wales,NSW
Lennox Head,2478,New South Wales,NSW
Bangalow,2479,New South Wales,NSW
South Lismore,2480,New South Wales,NSW
Byron Bay,2481,New South Wales,NSW
Mullumbimby,2482,New South Wales,NSW
Brunswick Heads,2483,New South Wales,NSW
South Murwillumbah,2484,New South Wales,NSW
Tweed Heads,2485,New South Wales,NSW
Tweed Heads South,2486,New South Wales,NSW
Casuarina (NSW),2487,New South Wales,NSW
Bogangar,2488,New South Wales,NSW
Pottsville,2489,New South Wales,NSW
Tumbulgum,2490,New South Wales,NSW
Wollongong,2500,New South Wales,NSW
Primbee,2502,New South Wales,NSW
Port Kembla,2505,New South Wales,NSW
Berkeley,2506,New South Wales,NSW
Helensburgh,2508,New South Wales,NSW
Thirroul,2515,New South Wales,NSW
Bulli,2516,New South Wales,NSW
Woonona,2517,New South Wales,NSW
East Corrimal,2518,New South Wales,NSW
Fairy Meadow,2519,New South Wales,NSW
Figtree,2525,New South Wales,NSW
Unanderra,2526,New South Wales,NSW
Albion Park,2527,New South Wales,NSW
Warilla,2528,New South Wales,NSW
Shellharbour,2529,New South Wales,NSW
Wongawilli,2530,New South Wales,NSW
Kiama,2533,New South Wales,NSW
Gerringong,2534,New South Wales,NSW
Far Meadow,2535,New South Wales,NSW
Batehaven,2536,New South Wales,NSW
Tuross Head,2537,New South Wales,NSW
Milton (NSW),2538,New South Wales,NSW
Burrill Lake,2539,New South Wales,NSW
Jervis Bay,2540,Other Territories,
Nowra,2541,New South Wales,NSW
Eurobodalla,2545,New South Wales,NSW
Bermagui,2546,New South Wales,NSW
Tura Beach,2548,New South Wales,NSW
Lochiel (NSW),2549,New South Wales,NSW
Bemboka,2550,New South Wales,NSW
Eden,2551,New South Wales,NSW
Badgerys Creek,2555,New South Wales,NSW
Bringelly,2556,New South Wales,NSW
Gledswood Hills,2557,New South Wales,NSW
Kearns,2558,New South Wales,NSW
Claymore,2559,New South Wales,NSW
Bradbury (NSW),2560,New South Wales,NSW
Menangle Park,2563,New South Wales,NSW
Macquarie Fields,2564,New South Wales,NSW
